id;be_type;computed_charge;computed_discount;total;currency;disc_reason;exchange_rate;final_charge
1;SUBSCRIPTION;8522.24;7025.3;943.5;while;immense;21985.28;21184.26
2;COURSE;10813.91;21208.68;28665.36;free;after generously;7730.06;19876.53
3;UTILITY;25414.24;4329.88;19642.59;raffle sweetly;frost;8012.59;18791.77
4;UTILITY;17569.8;14195.84;23638.02;unless deeply;incidentally pish loftily;1213.31;2891.68
5;COURSE;9619.27;19745.2;18156.82;gosh but slim;mortally drat;8563.69;7130.63
6;ONETIME_EVENT;13029.97;8382.81;28757.6;levy inverse;untimely immediately;10319.21;20796.67
7;COURSE;24646.39;2953.82;7849.27;ew envious elimination;spring whenever rest;9442.86;24582.43
8;SUBSCRIPTION;4556.88;27986.74;30208.39;innocently;spear behind transgress;12736.9;20996.28
9;UTILITY;19533.45;4969.2;8690.83;mid adept;times;14411.04;5851.16
10;COURSE;635.43;20756;6505.43;hmph potable;oof;1210.84;5559.01
