id;name;sport;level;description;start_time;end_time;duration;image_links;status;terms_and_conditions
1;wed vice;excluding articulate virtuous;readily well-worn;duck;2025-03-08T19:51:57;2025-03-08T19:07:30;16585;through huzzah hm;ONGOING;huzzah furthermore extra-large
2;likewise excluding scar;mint afraid;even but luxuriate;whether;2025-03-09T07:05:34;2025-03-09T04:19:30;9399;instantly psst before;COMPLETED;hmph
3;whenever;never that whoever;pfft;cripple;2025-03-09T08:17:30;2025-03-08T13:55:07;29967;chargesheet;ONGOING;soon pale
4;how;gah sentimental;even;bony powerless times;2025-03-08T13:27:48;2025-03-08T22:43:27;70;contradict;CANCELLED;bah the
5;squatter transparency;presume;minus;murky forenenst;2025-03-09T05:56:32;2025-03-08T16:32:58;16839;vessel ha under;COMPLETED;gee spouse
6;cold upliftingly huzzah;upright as for;collar bah mysteriously;pelican digger;2025-03-08T21:06:37;2025-03-08T22:49:43;31580;impersonate giddy gas;COMPLETED;excited aboard whereas
7;mosquito solemnly skirmish;beside;rumor monasticism;who foolishly strictly;2025-03-09T03:11:44;2025-03-09T09:03:42;10733;while and;UPCOMING;until
8;intently excluding;around amidst;revitalization hence;whether;2025-03-09T08:54:33;2025-03-08T18:31:34;30241;so;COMPLETED;less
9;rebut round;whopping conscientise nor;boo;bashfully;2025-03-09T04:52:58;2025-03-08T10:24:07;269;like instantly;UPCOMING;pace
10;ha;pinworm;dearest;strudel;2025-03-09T04:50:30;2025-03-08T18:36:24;26513;hoarse whoa;CANCELLED;ford what modulo
