id;discount_code;discount_text;discount_type;discount_value;start_date;end_date;be_type
1;meh rigidly ick;scuffle lest although;PERCENTAGE;29017.82;2025-03-09T05:01:32;2025-03-08T14:28:23;SUBSCRIPTION
2;tractor characteristic;grandparent;PERCENTAGE;9808.01;2025-03-08T17:51:13;2025-03-09T10:10:49;ONETIME_EVENT
3;flamboyant;likewise;FIXED_AMOUNT;5934.75;2025-03-09T03:48:11;2025-03-09T08:27:59;SUBSCRIPTION
4;hmph whether;keenly;FIXED_AMOUNT;11020.86;2025-03-08T16:39:52;2025-03-08T15:06:06;UTILITY
5;yum;novel woot;PERCENTAGE;25380.69;2025-03-08T15:36:41;2025-03-08T14:26:25;UTILITY
6;commonly;once lest;FIXED_AMOUNT;21255.04;2025-03-09T00:14:23;2025-03-08T14:08:39;UTILITY
7;ha down aboard;closed;PERCENTAGE;6268.72;2025-03-09T04:57:49;2025-03-08T21:46:24;COURSE
8;hmph yowza;kimono whittle detailed;FIXED_AMOUNT;19228.65;2025-03-09T08:38:15;2025-03-09T09:17:08;UTILITY
9;amongst academic;ack oof walnut;FIXED_AMOUNT;19572.24;2025-03-08T16:39:31;2025-03-08T21:50:24;ONETIME_EVENT
10;continually;thoughtfully annually;FIXED_AMOUNT;22177.48;2025-03-09T09:23:36;2025-03-08T21:26:17;UTILITY
