id;name;description;contact_num;email_id;latitude;longitude;image_links;status
1;gamma-ray amid;pleasant conduct velocity;instead;aching phew;32208.88;6650.76;wonderfully glare painfully;OPEN
2;parable;considering;lest save teepee;over gosh unaccountably;16146.33;7394.81;truly infarction;OPEN
3;psst vice an;questionably onto;kielbasa;yahoo;30032.39;5328.84;however;CLOSED
4;stone especially ricochet;reproach relationship so;not;blackness;8050.58;2333.85;finally;OPEN
5;so between;pish;although;yowza instead partially;32657.53;29814.74;homework;OPEN
6;drat optimistic;skyline;fully healthily;brr actually wherever;29330.91;23590.3;queasily soon;OPEN
7;barnstorm ball when;ouch;bravely pension shyly;regarding deflect;17525.29;2687.86;instead scarcely upon;UNDER_MAINTENANCE
8;timeline;parliament bah;huzzah;whenever shakily whoever;12702.47;21397.43;esteemed utter;OPEN
9;when;through braid continually;rightfully degree into;hmph better wonderfully;29314.66;555.93;detoxify out dissuade;CLOSED
10;through;beneficiary punctually ignite;triumphantly generally;can woot;14067.28;2348.13;past slander clue;OPEN
