id;event_name;event_desc;event_latitude;event_longitude;entry_fee;max_capacity;event_date;start_time;end_time;image_links;status;registration_deadline;category;tags;terms_and_conditions
1;until whimsical near;unnerve penalize;26009.12;12693.99;8124.65;19677;2025-03-08T21:38:17;2025-03-09T01:13:03;2025-03-09T01:11:49;duh;SCHEDULED;2025-03-08T23:44:10;eek;near actually freely;into furthermore whenever
2;honorable;taint upbeat;12280.39;18843.94;30228.72;22996;2025-03-09T07:32:51;2025-03-08T11:03:08;2025-03-08T17:35:45;behind exciting fooey;CANCELLED;2025-03-09T09:53:29;given thoroughly even;than wherever while;meanwhile sadly
3;psst after;saucer;29119.4;12654.63;10853.27;25354;2025-03-09T07:27:54;2025-03-08T12:51:18;2025-03-09T03:29:49;life a;CANCELLED;2025-03-08T23:35:02;which freak searchingly;nor;lanky
4;bloomer;modulo lest;9884.83;19592.42;19643.5;32244;2025-03-08T22:20:11;2025-03-09T05:36:48;2025-03-08T12:59:53;usefully oof uh-huh;COMPLETED;2025-03-09T05:27:23;longingly;neatly employ amongst;scared nearly
5;gee;exactly thermometer geez;3066.55;2340.32;24709.61;934;2025-03-09T06:05:32;2025-03-09T05:40:42;2025-03-09T05:08:56;beneath modulo forceful;ONGOING;2025-03-08T17:33:56;impudence configure;buck finished;yippee ack
6;ocelot;board useless;14476.59;30499.27;28218.81;9318;2025-03-08T18:52:44;2025-03-08T12:22:46;2025-03-09T05:03:27;warmly;SCHEDULED;2025-03-08T11:43:29;as well-lit;jubilant;ah scholarly bet
7;that worriedly;cartload;18103.5;15759.15;11177.08;4440;2025-03-08T21:55:47;2025-03-08T22:00:50;2025-03-08T19:24:54;spotless;ONGOING;2025-03-08T15:48:28;alias far;panda;titrate indeed
8;official;weak timetable soon;22521.62;26350.43;21925.54;24471;2025-03-09T05:14:45;2025-03-09T03:46:25;2025-03-08T23:11:15;alpha;COMPLETED;2025-03-08T11:20:46;trivial;extemporise worriedly;zowie that
9;than steal empire;pack;194.56;2389.83;24049.71;21209;2025-03-08T17:20:41;2025-03-09T03:59:07;2025-03-09T03:54:04;yum next;SCHEDULED;2025-03-08T13:40:14;confirm genie;rusty;yuck meh
10;provided which whose;atop unethically fictionalize;15284.64;18468.37;7887.11;21924;2025-03-09T08:50:23;2025-03-08T15:07:47;2025-03-09T01:57:29;terraform off;COMPLETED;2025-03-09T01:32:49;doubtfully party ridge;after geez alongside;flush meh
