id;amount;currency;payment_status;gateway_status;gateway_code;payment_desc;transaction_id;token;payment_gateway
1;3837.74;ha plywood;REFUNDED;phew hourly so;unhappy near admired;pfft across sin;furthermore provided faithfully;weaponize mid;including
2;23820.18;bite-sized absent hopelessly;REFUNDED;unhand times pfft;incidentally;throughout sorbet;influx pish forceful;near;seriously
3;30077.06;cultivated;FAILED;amidst woot enchanted;jovially brr yahoo;whose;pack;intubate firsthand but;until underneath
4;31060.01;truthfully;PENDING;heave between;brightly before vainly;steamroller admirable throb;generally;in;really ugh
5;6249.85;like betake;REFUNDED;shed placebo worriedly;measly anguished;restock trait;dungarees;barring;meanwhile
6;29023.84;educated;PENDING;conform;gosh muster;likewise pro;that whoa ouch;babble apud;blah jangle present
7;18906.41;aw;PENDING;sweetly;near;weak carefully after;oh still;smoothly sharply canine;warmly
8;10653.2;obfuscate joust gosh;SUCCESS;hence quarterly;leave paralyse;helplessly um;shabby;legal;bah
9;6029.09;epoxy;FAILED;playfully tomorrow;nimble scented budge;although furthermore faithful;vainly;provided ripple;boldly
10;6826.78;knee;REFUNDED;suspiciously jaunty slushy;since that woot;clipper;sans rumble phew;infamous likewise melon;whistle gorgeous that
