id;name;description;amount;validity_type;validity_period;no_of_pause_days;session_limit;status
1;pro for down;whoever never competent;20427.78;meh vastly during;26264;23476;17984;EXPIRED
2;dapper neatly;aw hence unimportant;22458.95;given shrill;25874;9971;21133;ACTIVE
3;before always so;teleconference kaleidoscopic modulo;32700.52;choice;26785;9349;7522;CANCELLED
4;tog;upbeat redesign;7201.75;dwindle;2801;30097;16830;ACTIVE
5;lest;near;19428.96;meanwhile;31197;16741;2623;EXPIRED
6;hinge opera yowza;soupy tensely;1170.39;vainly frenetically;25918;16034;18649;CANCELLED
7;essential duh;defog for;10492.39;black;8024;21237;19172;ACTIVE
8;active even;bowtie;30264.19;strafe ew fearless;12649;32515;17808;CANCELLED
9;ambitious above gyrate;ick;162.63;yowza;19715;28783;18849;CANCELLED
10;professor that so;strife yum remorseful;1309.51;generous;31230;31928;24920;EXPIRED
