id;task_title;task_description;due_date;task_status
1;strictly;scrawny grumpy blacken;2025-03-08T11:22:33;PENDING
2;protest;senate yowza;2025-03-08T18:24:43;PENDING
3;villainous miscalculate;an;2025-03-08T23:11:47;PENDING
4;plus;midst crawdad;2025-03-08T18:33:03;PENDING
5;bad furthermore;energetically optimal since;2025-03-09T07:49:46;IN_PROGRESS
6;repel without but;immaculate pfft;2025-03-09T02:29:59;IN_PROGRESS
7;wonderfully;even praise into;2025-03-08T14:24:09;PENDING
8;grandiose broken nobody;honestly versus;2025-03-09T07:34:11;COMPLETED
9;meh origin;wrest division modulate;2025-03-08T22:11:07;PENDING
10;zowie;experienced;2025-03-08T19:05:34;IN_PROGRESS
