id;net_amount;computed_slab;computed_amount;tax_type;tax_source
1;12112.98;rivet intertwine tender;7231.92;evade;USER
2;6715.42;rehouse towards boo;32092.5;turbocharge whoa underwire;GOVERNMENT
3;21713.33;phew;30063.2;acidic mmm excepting;USER
4;13759.1;courageous along;19393.26;to boastfully;GOVERNMENT
5;9148.64;meanwhile but;8233.86;petitioner mmm tenant;FACILITY
6;30785.11;delightfully unnaturally;679.72;downchange yieldingly;USER
7;29741.15;blog;5423.12;wherever properly drat;USER
8;2049.64;thirsty upward;32278.26;yearningly;GOVERNMENT
9;584.9;fooey;15572.77;minus;FACILITY
10;1246.49;microblog that;22005.77;oof;GOVERNMENT
