id;tax_slab;tax_name;is_active;tax_type;tax_source
1;earnest;thoroughly;true;through;GOVERNMENT
2;unsteady;poorly however;false;deeply;FACILITY
3;scarcely;wetly mismatch expect;true;circa miserably;GOVERNMENT
4;oh scratchy smudge;and nestling horrible;true;abstract;USER
5;partial ouch;oh trial;true;psst;GOVERNMENT
6;unwelcome limply;direct questionable sick;false;majestically aw;FACILITY
7;attempt;yet jaded;false;yowza;GOVERNMENT
8;aw skyrocket winery;inasmuch;false;ha whereas timpani;GOVERNMENT
9;truthful;opposite aside;false;closely chubby;USER
10;multicolored although;cuss retain via;true;unzip before swordfight;USER
