id;name;description;terms_and_conditions;price_per_slot;max_capacity;latitude;longitude;requirements;status
1;good-natured but when;once scarify generally;surprise somersault;30128.48;26181;28254.45;11024.26;delectable;UNAVAILABLE
2;drab;ouch;familiar internal;4898.46;20774;19467.14;8267.12;into;UNDER_MAINTENANCE
3;characterise;essay;after;24696.04;27173;32048.41;31325.96;towards nor;UNDER_MAINTENANCE
4;silky muddy;inquisitively that loyally;toward;21562.4;118;26424.54;18368.53;through brushing anenst;UNDER_MAINTENANCE
5;boohoo gah;yippee bask;consequently;30951.41;3369;9334.25;12579.21;angrily genuine than;AVAILABLE
6;guy cater innocent;thoughtful terrorize;although wide-eyed;32652.25;20018;20171.58;32323.37;positively unravel lost;UNDER_MAINTENANCE
7;boohoo;utilization;ouch chaperone what;7720.93;21536;17880.01;24116.94;throughout upright woeful;UNDER_MAINTENANCE
8;joint black ornate;irresponsible pish brr;yum eyelids;13606.96;26143;31875.49;17501.4;jovially ah;AVAILABLE
9;rightfully cultivate annually;huzzah scarily rarely;pirouette;14481.4;14670;29241.86;765.5;bacterium in camera;UNDER_MAINTENANCE
10;for entail;underneath elope;alliance;25767.88;32398;17213.3;12598.23;valiantly;UNDER_MAINTENANCE
