id;amount_paid;booked_quantity;start_time;end_time;status
1;17811.35;1345;2025-03-08T12:47:38;2025-03-09T05:22:42;COMPLETED
2;26540.86;31082;2025-03-08T20:50:06;2025-03-09T00:19:43;CONFIRMED
3;22492.6;32628;2025-03-09T10:07:53;2025-03-08T12:15:28;COMPLETED
4;21804.24;31587;2025-03-09T05:47:37;2025-03-09T03:38:14;CONFIRMED
5;31390.73;28194;2025-03-09T03:30:38;2025-03-08T23:03:41;CANCELLED
6;8997.23;16922;2025-03-08T17:02:12;2025-03-08T14:36:18;CANCELLED
7;6384.64;2961;2025-03-09T01:43:46;2025-03-08T18:53:58;CONFIRMED
8;10175.63;3708;2025-03-08T11:54:50;2025-03-08T17:29:04;COMPLETED
9;23176.38;13753;2025-03-09T08:51:49;2025-03-08T22:08:20;COMPLETED
10;632.69;20222;2025-03-08T23:30:14;2025-03-09T05:19:06;COMPLETED
