id;date;start_time;end_time;max_capacity;current_bookings;status
1;2025-03-08T12:04:34;2025-03-09T06:34:58;2025-03-08T12:13:47;24916;3764;CANCELLED
2;2025-03-09T00:08:11;2025-03-09T04:15:29;2025-03-09T02:43:07;10;27341;BOOKED
3;2025-03-08T23:55:58;2025-03-08T13:34:29;2025-03-08T11:58:33;10881;3225;BOOKED
4;2025-03-08T17:33:16;2025-03-08T20:15:30;2025-03-08T11:11:52;30312;19597;BOOKED
5;2025-03-09T02:48:20;2025-03-09T07:06:58;2025-03-08T15:09:54;21687;29684;CANCELLED
6;2025-03-08T18:31:02;2025-03-09T08:05:27;2025-03-08T14:01:59;31061;16196;OPEN
7;2025-03-08T21:51:01;2025-03-08T16:26:53;2025-03-08T22:08:23;24411;8532;OPEN
8;2025-03-08T15:26:15;2025-03-09T05:13:00;2025-03-08T19:09:39;5771;3371;CANCELLED
9;2025-03-09T04:20:03;2025-03-08T18:30:51;2025-03-09T09:26:01;340;19227;OPEN
10;2025-03-08T13:52:27;2025-03-09T00:03:51;2025-03-09T08:24:56;23746;5209;CANCELLED
